step,temperature_before,temperature,workload,cooling,action,energy,reward,reward/total,reward/energy_penalty,reward/temp_penalty,reward/stability_bonus
17,20.584714452438657,21.27146411477531,2.2891655411221703,0,0,44.0,-7.484365624968446,-7.4844,-8.8,0.0,1.3156
18,21.27146411477531,20.96821142444877,2.3224910322448773,1,1,46.0,-7.908749119167099,-7.9087,-9.2,0.0,1.2913
19,20.96821142444877,21.639441143617248,2.23743239722825,0,0,46.0,-7.85489720094105,-7.8549,-9.2,0.0,1.3451
20,21.639441143617248,21.43829715568193,2.6628533735489452,1,1,48.0,-8.27098701609272,-8.271,-9.6,0.0,1.329
21,21.43829715568193,20.88830229622453,1.5000171351420029,1,1,50.0,-8.715186180403968,-8.7152,-10.0,0.0,1.2848
22,20.88830229622453,21.26336088065244,1.250195281426355,0,0,50.0,-8.685016138097014,-8.685,-10.0,0.0,1.315
23,21.26336088065244,20.75610647290279,1.642485307501175,1,1,52.0,-9.125844200875749,-9.1258,-10.4,0.0,1.2742
24,20.75610647290279,21.45846911764421,2.341208815804732,0,0,52.0,-9.069371356700424,-9.0694,-10.4,0.0,1.3306
25,21.45846911764421,21.1030806409484,2.148705077680624,1,1,54.0,-9.497895347179393,-9.4979,-10.8,0.0,1.3021
26,21.1030806409484,21.838076130337683,2.4499849646309517,0,0,54.0,-9.439057113469076,-9.4391,-10.8,0.0,1.3609
27,21.838076130337683,20.632642847565787,2.6485557240936832,2,2,58.0,-10.335807024069124,-10.3358,-11.6,0.0,1.2642
28,20.632642847565787,21.614967998882765,3.274417171056597,0,0,58.0,-10.256852301609198,-10.2569,-11.6,0.0,1.3431
29,21.614967998882765,20.330119818780183,2.3838393996580587,2,2,62.0,-11.160245975361548,-11.1602,-12.4,0.0,1.2398
30,20.330119818780183,21.18165180369809,2.8384399497263675,0,0,62.0,-11.091578987302945,-11.0916,-12.4,0.0,1.3084
31,21.18165180369809,19.669698894601968,1.6268236363462556,2,2,66.0,-12.013646086945466,-12.0136,-13.2,0.0,1.1864
32,19.669698894601968,19.669698894601968,0.0,0,0,66.0,-12.013646086945466,-12.0136,-13.2,0.0,1.1864
33,19.669698894601968,19.669698894601968,0.0,0,0,66.0,-12.013646086945466,-12.0136,-13.2,0.0,1.1864
34,19.669698894601968,19.669698894601968,0.0,0,0,66.0,-12.013646086945466,-12.0136,-13.2,0.0,1.1864
35,19.669698894601968,19.879941832935504,0.7008097944451251,0,0,66.0,-11.996647668231049,-11.9966,-13.2,0.0,1.2034
36,19.879941832935504,20.249608587176137,1.232222514135441,0,0,66.0,-11.966754516670653,-11.9668,-13.2,0.0,1.2332
37,20.249608587176137,20.326697403505804,0.25696272109888474,0,0,66.0,-11.960522615044683,-11.9605,-13.2,0.0,1.2395
38,20.326697403505804,20.607152961438988,0.934851859777285,0,0,66.0,-11.937864842314008,-11.9379,-13.2,0.0,1.2621
39,20.607152961438988,20.64707984155401,0.13308960038340523,0,0,66.0,-11.934641647288565,-11.9346,-13.2,0.0,1.2654
40,20.64707984155401,20.666308198548325,0.06409452331437789,0,0,66.0,-11.933089658221192,-11.9331,-13.2,0.0,1.2669
41,20.666308198548325,20.666308198548325,0.0,0,0,66.0,-11.933089658221192,-11.9331,-13.2,0.0,1.2669
42,20.666308198548325,20.693768964338947,0.09153588596873698,0,0,66.0,-11.930873517044617,-11.9309,-13.2,0.0,1.2691
43,20.693768964338947,20.917702444900073,0.7464449352037505,0,0,66.0,-11.912817350456944,-11.9128,-13.2,0.0,1.2872
44,20.917702444900073,21.294855235251383,1.2571759678377052,0,0,66.0,-11.882488178797562,-11.8825,-13.2,0.0,1.3175
45,21.294855235251383,20.755980450051304,1.5370840493330722,1,1,68.0,-12.325854366129557,-12.3259,-13.6,0.0,1.2741
46,20.755980450051304,21.373093208324736,2.057042527578111,0,0,68.0,-12.27621245064299,-12.2762,-13.6,0.0,1.3238
47,21.373093208324736,21.1050440556342,2.4398361576982057,1,1,70.0,-12.697737444464856,-12.6977,-14.0,0.0,1.3023
48,21.1050440556342,21.686518391290956,1.9382477855225257,0,0,70.0,-12.651138403432261,-12.6511,-14.0,0.0,1.3489
